 Index,     Direction,      Status/Code/Error Count,    Format/Type,   ID,    DLC,            Data,                 Time Mark
  87      ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:00:12:825,
  88      ,Receive ,                    ,Ext / Data,0x16F83E34,1   ,00                              ,00:00:12:893,
  89      ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:00:12:898,
  90      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:12:914,
  91      ,Receive ,                    ,Ext / Data,0x1610FF55,0   ,                                ,00:00:12:915,
  92      ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:00:12:996,
  93      ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:013,
  94      ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:00:13:054,
  95      ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  00  00                  ,00:00:13:068,
  96      ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:00:13:071,
  97      ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:00:13:072,
  98      ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:00:13:072,
  99      ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:00:13:073,
  100     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:00:13:074,
  101     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:00:13:075,
  102     ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:00:13:076,
  103     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:00:13:077,
  104     ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:00:13:077,
  105     ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:00:13:078,
  106     ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:00:13:079,
  107     ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:00:13:080,
  108     ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:00:13:080,
  109     ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:00:13:081,
  110     ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:00:13:082,
  111     ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:00:13:083,
  112     ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:00:13:084,
  113     ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:00:13:088,
  114     ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:00:13:096,
  115     ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:00:13:101,
  116     ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:00:13:113,
  117     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:114,
  118     ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:00:13:115,
  119     ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:00:13:115,
  120     ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:13:116,
  121     ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6E  78  3C  20  C7  D9  00  ,00:00:13:118,
  122     ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  74  14  FF  E0  00  00  ,00:00:13:119,
  123     ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:00:13:122,
  124     ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:00:13:198,
  125     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:212,
  126     ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:00:13:295,
  127     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:310,
  128     ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:00:13:352,
  129     ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  00  00                  ,00:00:13:365,
  130     ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:00:13:368,
  131     ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:00:13:369,
  132     ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:00:13:369,
  133     ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:00:13:370,
  134     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:00:13:371,
  135     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:00:13:371,
  136     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:00:13:372,
  137     ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:00:13:373,
  138     ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:00:13:374,
  139     ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:00:13:375,
  140     ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:00:13:376,
  141     ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:00:13:377,
  142     ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:00:13:377,
  143     ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:00:13:378,
  144     ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:00:13:379,
  145     ,Receive ,                    ,Ext / Data,0x12F81E10,5   ,00  00  00  00  01              ,00:00:13:380,
  146     ,Receive ,                    ,Ext / Data,0x12F83010,1   ,00                              ,00:00:13:381,
  147     ,Receive ,                    ,Ext / Data,0x12F84010,1   ,00                              ,00:00:13:385,
  148     ,Receive ,                    ,Ext / Data,0x16F83B31,1   ,00                              ,00:00:13:398,
  149     ,Receive ,                    ,Ext / Data,0xEF83F31,2   ,80  00                          ,00:00:13:403,
  150     ,Receive ,                    ,Ext / Data,0x16F97550,8   ,FF  E0  00  00  00  00  00  00  ,00:00:13:410,
  151     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:411,
  152     ,Receive ,                    ,Ext / Data,0x12F85150,5   ,00  00  02  00  40              ,00:00:13:412,
  153     ,Receive ,                    ,Ext / Data,0x12F85C50,1   ,00                              ,00:00:13:412,
  154     ,Receive ,                    ,Ext / Data,0x16F86250,8   ,0F  FF  FF  FF  FF  FF  FF  00  ,00:00:13:413,
  155     ,Receive ,                    ,Ext / Data,0x16F86C50,8   ,02  6E  78  3C  20  C7  D9  00  ,00:00:13:415,
  156     ,Receive ,                    ,Ext / Data,0x16F86D50,8   ,0B  51  74  14  FF  E0  00  00  ,00:00:13:416,
  157     ,Receive ,                    ,Ext / Data,0x12F85450,2   ,16  36                          ,00:00:13:419,
  158     ,Receive ,                    ,Ext / Data,0x1610FF57,0   ,                                ,00:00:13:428,
  159     ,Receive ,                    ,Ext / Data,0x1610FF10,0   ,                                ,00:00:13:444,
  160     ,Receive ,                    ,Ext / Data,0x12F81010,4   ,20  00  80  00                  ,00:00:13:445,
  161     ,Receive ,                    ,Ext / Data,0xEF81496,1   ,00                              ,00:00:13:498,
  162     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:509,
  163     ,Receive ,                    ,Ext / Data,0x12F85250,4   ,FE  00  B7  02                  ,00:00:13:509,
  164     ,Receive ,                    ,Ext / Data,0x12F83496,1   ,20                              ,00:00:13:595,
  165     ,Receive ,                    ,Ext / Data,0x12F85050,5   ,00  00  00  00  00              ,00:00:13:607,
  166     ,Receive ,                    ,Ext / Data,0x16F83D33,1   ,00                              ,00:00:13:647,
  167     ,Receive ,                    ,Ext / Data,0xAF81111,2   ,00  00                          ,00:00:13:665,
  168     ,Receive ,                    ,Ext / Data,0x12F87811,1   ,00                              ,00:00:13:666,
  169     ,Receive ,                    ,Ext / Data,0x12F81C12,1   ,00                              ,00:00:13:666,
  170     ,Receive ,                    ,Ext / Data,0x12F84112,1   ,00                              ,00:00:13:668,
  171     ,Receive ,                    ,Ext / Data,0xEF83633,2   ,00  00                          ,00:00:13:668,
  172     ,Receive ,                    ,Ext / Data,0x12F84212,1   ,00                              ,00:00:13:669,
  173     ,Receive ,                    ,Ext / Data,0x12F84312,1   ,00                              ,00:00:13:671,
  174     ,Receive ,                    ,Ext / Data,0x12F84712,1   ,00                              ,00:00:13:672,
  175     ,Receive ,                    ,Ext / Data,0xAF87010,2   ,00  00                          ,00:00:13:672,
  176     ,Receive ,                    ,Ext / Data,0x12F84812,1   ,00                              ,00:00:13:673,
  177     ,Receive ,                    ,Ext / Data,0xAF87110,3   ,00  00  00                      ,00:00:13:674,
  178     ,Receive ,                    ,Ext / Data,0xEF81510,1   ,02                              ,00:00:13:674,
  179     ,Receive ,                    ,Ext / Data,0xEF82010,1   ,00                              ,00:00:13:675,
  180     ,Receive ,                    ,Ext / Data,0xEF87310,4   ,00  AA  00  00                  ,00:00:13:676,
  181     ,Receive ,                    ,Ext / Data,0x12F81D10,5   ,00  00  00  00  01              ,00:00:13:677,
